Date,Sample.ID,Chamber.ID,SDR,Tank,Temperature,Symbiont,Type,Salinity,Plate,Run,Volume,Org.Number,,,,,,,,,,,
20230621,19,D1,710,NA,15,C,Sample,33,2,1,0.00008,7,,,,,,,,,,,
20230621,2,A2,710,NA,15,C,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,8,B2,710,NA,15,D,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,14,C2,710,NA,15,NA,Blank,33,2,1,0.00008,NA,,,,,,,,,,,
20230621,20,D2,710,NA,15,C,Sample,33,2,1,0.00008,7,,,,,,,,,,,
20230621,3,A3,710,NA,15,C,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,9,B3,710,NA,15,D,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,15,C3,710,NA,15,NA,Blank,33,2,1,0.00008,NA,,,,,,,,,,,
20230621,21,D3,710,NA,15,C,Sample,33,2,1,0.00008,7,,,,,,,,,,,
20230621,4,A4,710,NA,15,C,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,10,B4,710,NA,15,D,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,16,C4,710,NA,15,NA,Blank,33,2,1,0.00008,NA,,,,,,,,,,,
20230621,22,D4,710,NA,15,C,Sample,33,2,1,0.00008,7,,,,,,,,,,,
20230621,5,A5,710,NA,15,C,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,11,B5,710,NA,15,D,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,17,C5,710,NA,15,NA,Blank,33,2,1,0.00008,NA,,,,,,,,,,,
20230621,23,D5,710,NA,15,C,Sample,33,2,1,0.00008,7,,,,,,,,,,,
20230621,6,A6,710,NA,15,C,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,12,B6,710,NA,15,D,Sample,33,2,1,0.00008,5,,,,,,,,,,,
20230621,18,C6,710,NA,15,NA,Blank,33,2,1,0.00008,NA,,,,,,,,,,,
20230621,24,D6,710,NA,15,C,Sample,33,2,1,0.00008,7,,,,,,,,,,,
20230621,1,A1,641,NA,25,C,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,7,B1,641,NA,25,D,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,13,C1,641,NA,25,NA,Blank,33,3,2,0.00008,NA,,,,,,,,,,,
20230621,19,D1,641,NA,25,D,Sample,33,3,2,0.00008,7,,,,,,,,,,,
20230621,2,A2,641,NA,25,C,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,8,B2,641,NA,25,D,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,14,C2,641,NA,25,NA,Blank,33,3,2,0.00008,NA,,,,,,,,,,,
20230621,20,D2,641,NA,25,D,Sample,33,3,2,0.00008,7,,,,,,,,,,,
20230621,3,A3,641,NA,25,C,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,9,B3,641,NA,25,D,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,15,C3,641,NA,25,NA,Blank,33,3,2,0.00008,NA,,,,,,,,,,,
20230621,21,D3,641,NA,25,D,Sample,33,3,2,0.00008,7,,,,,,,,,,,
20230621,4,A4,641,NA,25,C,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,10,B4,641,NA,25,D,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,16,C4,641,NA,25,NA,Blank,33,3,2,0.00008,NA,,,,,,,,,,,
20230621,22,D4,641,NA,25,D,Sample,33,3,2,0.00008,7,,,,,,,,,,,
20230621,5,A5,641,NA,25,C,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,11,B5,641,NA,25,D,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,17,C5,641,NA,25,NA,Blank,33,3,2,0.00008,NA,,,,,,,,,,,
20230621,23,D5,641,NA,25,D,Sample,33,3,2,0.00008,7,,,,,,,,,,,
20230621,6,A6,641,NA,25,C,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,12,B6,641,NA,25,D,Sample,33,3,2,0.00008,5,,,,,,,,,,,
20230621,18,C6,641,NA,25,NA,Blank,33,3,2,0.00008,NA,,,,,,,,,,,
20230621,24,D6,641,NA,25,D,Sample,33,3,2,0.00008,7,,,,,,,,,,,
20230621,1,A1,710,NA,25,C,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,7,B1,710,NA,25,D,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,13,C1,710,NA,25,NA,Blank,33,4,2,0.00008,NA,,,,,,,,,,,
20230621,19,D1,710,NA,25,C,Sample,33,4,2,0.00008,7,,,,,,,,,,,
20230621,2,A2,710,NA,25,C,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,8,B2,710,NA,25,D,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,14,C2,710,NA,25,NA,Blank,33,4,2,0.00008,NA,,,,,,,,,,,
20230621,20,D2,710,NA,25,C,Sample,33,4,2,0.00008,7,,,,,,,,,,,
20230621,3,A3,710,NA,25,C,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,9,B3,710,NA,25,D,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,15,C3,710,NA,25,NA,Blank,33,4,2,0.00008,NA,,,,,,,,,,,
20230621,21,D3,710,NA,25,C,Sample,33,4,2,0.00008,7,,,,,,,,,,,
20230621,4,A4,710,NA,25,C,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,10,B4,710,NA,25,D,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,16,C4,710,NA,25,NA,Blank,33,4,2,0.00008,NA,,,,,,,,,,,
20230621,22,D4,710,NA,25,C,Sample,33,4,2,0.00008,7,,,,,,,,,,,
20230621,5,A5,710,NA,25,C,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,11,B5,710,NA,25,D,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,17,C5,710,NA,25,NA,Blank,33,4,2,0.00008,NA,,,,,,,,,,,
20230621,23,D5,710,NA,25,C,Sample,33,4,2,0.00008,7,,,,,,,,,,,
20230621,6,A6,710,NA,25,C,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,12,B6,710,NA,25,D,Sample,33,4,2,0.00008,5,,,,,,,,,,,
20230621,18,C6,710,NA,25,NA,Blank,33,4,2,0.00008,NA,,,,,,,,,,,
20230621,24,D6,710,NA,25,C,Sample,33,4,2,0.00008,7,,,,,,,,,,,
20230621,1,A1,641,NA,33,C,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,7,B1,641,NA,33,D,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,13,C1,641,NA,33,NA,Blank,33,5,3,0.00008,NA,,,,,,,,,,,
20230621,19,D1,641,NA,33,D,Sample,33,5,3,0.00008,7,,,,,,,,,,,
20230621,2,A2,641,NA,33,C,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,8,B2,641,NA,33,D,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,14,C2,641,NA,33,NA,Blank,33,5,3,0.00008,NA,,,,,,,,,,,
20230621,20,D2,641,NA,33,D,Sample,33,5,3,0.00008,7,,,,,,,,,,,
20230621,3,A3,641,NA,33,C,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,9,B3,641,NA,33,D,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,15,C3,641,NA,33,NA,Blank,33,5,3,0.00008,NA,,,,,,,,,,,
20230621,21,D3,641,NA,33,D,Sample,33,5,3,0.00008,7,,,,,,,,,,,
20230621,4,A4,641,NA,33,C,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,10,B4,641,NA,33,D,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,16,C4,641,NA,33,NA,Blank,33,5,3,0.00008,NA,,,,,,,,,,,
20230621,22,D4,641,NA,33,D,Sample,33,5,3,0.00008,7,,,,,,,,,,,
20230621,5,A5,641,NA,33,C,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,11,B5,641,NA,33,D,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,17,C5,641,NA,33,NA,Blank,33,5,3,0.00008,NA,,,,,,,,,,,
20230621,23,D5,641,NA,33,D,Sample,33,5,3,0.00008,7,,,,,,,,,,,
20230621,6,A6,641,NA,33,C,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,12,B6,641,NA,33,D,Sample,33,5,3,0.00008,5,,,,,,,,,,,
20230621,18,C6,641,NA,33,NA,Blank,33,5,3,0.00008,NA,,,,,,,,,,,
20230621,24,D6,641,NA,33,D,Sample,33,5,3,0.00008,7,,,,,,,,,,,
20230623,1,A1,641,WT1,10,WT,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,7,B1,641,MIX1,10,MIX,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,13,C1,641,NA,10,NA,Blank,33,7,4,0.00008,NA,,,,,,,,,,,
20230623,19,D1,641,C1,10,C,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,2,A2,641,NA,10,NA,Blank,33,7,4,0.00008,NA,,,,,,,,,,,
20230623,8,B2,641,C2,10,C,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,14,C2,641,MIX2,10,MIX,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,20,D2,641,WT1,10,WT,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,3,A3,641,MIX1,10,MIX,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,9,B3,641,C1,10,C,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,15,C3,641,WT2,10,WT,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,21,D3,641,MIX1,10,MIX,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,4,A4,641,WT2,10,WT,Sample,33,7,4,0.00008,4,,,,,,,,,,,
20230623,10,B4,641,WT1,10,WT,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,16,C4,641,MIX2,10,MIX,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,22,D4,641,WT2,10,WT,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,5,A5,641,C2,10,C,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,11,B5,641,WT1,10,WT,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,17,C5,641,BLANK,10,NA,Blank,33,7,4,0.00008,NA,,,,,,,,,,,
20230623,23,D5,641,C1,10,C,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,6,A6,641,MIX2,10,MIX,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,12,B6,641,C1,10,C,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,18,C6,641,MIX2,10,MIX,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,24,D6,641,C2,10,C,Sample,33,7,4,0.00008,5,,,,,,,,,,,
20230623,1,A1,710,MIX2,10,MIX,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,7,B1,710,MIX1,10,MIX,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,13,C1,710,C2,10,C,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,19,D1,710,WT1,10,WT,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,2,A2,710,C2,10,C,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,8,B2,710,BLANK,10,NA,Blank,33,8,4,0.00008,NA,,,,,,,,,,,
20230623,14,C2,710,WT2,10,WT,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,20,D2,710,MIX2,10,MIX,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,3,A3,710,WT2,10,WT,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,9,B3,710,MIX1,10,MIX,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,15,C3,710,C2,10,C,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,21,D3,710,WT2,10,WT,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,4,A4,710,MIX2,10,MIX,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,10,B4,710,WT1,10,WT,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,16,C4,710,C1,10,C,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,22,D4,710,C1,10,C,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,5,A5,710,MIX1,10,MIX,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,11,B5,710,C1,10,C,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,17,C5,710,BLANK,10,NA,Blank,33,8,4,0.00008,NA,,,,,,,,,,,
20230623,23,D5,710,MIX1,10,MIX,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,6,A6,710,C1,10,C,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,12,B6,710,BLANK,10,NA,Blank,33,8,4,0.00008,NA,,,,,,,,,,,
20230623,18,C6,710,WT1,10,WT,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,24,D6,710,WT2,10,WT,Sample,33,8,4,0.00008,5,,,,,,,,,,,
20230623,1,A1,641,MIX2,24,MIX,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,7,B1,641,MIX1,24,MIX,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,13,C1,641,C2,24,C,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,19,D1,641,WT1,24,WT,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,2,A2,641,C2,24,C,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,8,B2,641,NA,24,NA,Blank,33,9,5,0.00008,NA,,,,,,,,,,,
20230623,14,C2,641,WT2,24,WT,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,20,D2,641,MIX2,24,MIX,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,3,A3,641,WT2,24,WT,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,9,B3,641,MIX1,24,MIX,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,15,C3,641,C2,24,C,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,21,D3,641,WT2,24,WT,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,4,A4,641,MIX2,24,MIX,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,10,B4,641,WT1,24,WT,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,16,C4,641,C1,24,C,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,22,D4,641,C1,24,C,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,5,A5,641,MIX1,24,MIX,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,11,B5,641,C1,24,C,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,17,C5,641,NA,24,NA,Blank,33,9,5,0.00008,NA,,,,,,,,,,,
20230623,23,D5,641,MIX1,24,MIX,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,6,A6,641,C1,24,C,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,12,B6,641,NA,24,NA,Blank,33,9,5,0.00008,NA,,,,,,,,,,,
20230623,18,C6,641,WT1,24,WT,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,24,D6,641,WT2,24,WT,Sample,33,9,5,0.00008,5,,,,,,,,,,,
20230623,1,A1,710,WT1,24,WT,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,7,B1,710,MIX1,24,MIX,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,13,C1,710,NA,24,NA,Blank,33,10,5,0.00008,NA,,,,,,,,,,,
20230623,19,D1,710,C1,24,C,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,2,A2,710,NA,24,NA,Blank,33,10,5,0.00008,NA,,,,,,,,,,,
20230623,8,B2,710,C2,24,C,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,14,C2,710,MIX2,24,MIX,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,20,D2,710,WT1,24,WT,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,3,A3,710,MIX1,24,MIX,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,9,B3,710,C1,24,C,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,15,C3,710,WT2,24,WT,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,21,D3,710,MIX1,24,MIX,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,4,A4,710,WT2,24,WT,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,10,B4,710,WT1,24,WT,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,16,C4,710,MIX2,24,MIX,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,22,D4,710,WT2,24,WT,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,5,A5,710,C2,24,C,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,11,B5,710,WT1,24,WT,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,17,C5,710,NA,24,NA,Blank,33,10,5,0.00008,NA,,,,,,,,,,,
20230623,23,D5,710,C1,24,C,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,6,A6,710,MIX2,24,MIX,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,12,B6,710,C1,24,C,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,18,C6,710,MIX2,24,MIX,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,24,D6,710,C2,24,C,Sample,33,10,5,0.00008,5,,,,,,,,,,,
20230623,1,A1,641,WT1,32,WT,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,7,B1,641,MIX1,32,MIX,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,13,C1,641,NA,32,NA,Blank,33,11,6,0.00008,NA,,,,,,,,,,,
20230623,19,D1,641,C1,32,C,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,2,A2,641,NA,32,NA,Blank,33,11,6,0.00008,NA,,,,,,,,,,,
20230623,8,B2,641,C2,32,C,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,14,C2,641,MIX2,32,MIX,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,20,D2,641,WT1,32,WT,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,3,A3,641,MIX1,32,MIX,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,9,B3,641,C1,32,C,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,15,C3,641,WT2,32,WT,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,21,D3,641,MIX1,32,MIX,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,4,A4,641,WT2,32,WT,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,10,B4,641,WT1,32,WT,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,16,C4,641,MIX2,32,MIX,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,22,D4,641,WT2,32,WT,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,5,A5,641,C2,32,C,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,11,B5,641,WT1,32,WT,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,17,C5,641,NA,32,NA,Blank,33,11,6,0.00008,NA,,,,,,,,,,,
20230623,23,D5,641,C1,32,C,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,6,A6,641,MIX2,32,MIX,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,12,B6,641,C1,32,C,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,18,C6,641,MIX2,32,MIX,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,24,D6,641,C2,32,C,Sample,33,11,6,0.00008,5,,,,,,,,,,,
20230623,1,A1,710,MIX2,32,MIX,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,7,B1,710,MIX1,32,MIX,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,13,C1,710,C2,32,C,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,19,D1,710,WT1,32,WT,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,2,A2,710,C2,32,C,Sample,33,12,6,0.00008,4,,,,,,,,,,,
20230623,8,B2,710,NA,32,NA,Blank,33,12,6,0.00008,NA,,,,,,,,,,,
20230623,14,C2,710,WT2,32,WT,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,20,D2,710,MIX2,32,MIX,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,3,A3,710,WT2,32,WT,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,9,B3,710,MIX1,32,MIX,Sample,33,12,6,0.00008,4,,,,,,,,,,,
20230623,15,C3,710,C2,32,C,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,21,D3,710,WT2,32,WT,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,4,A4,710,MIX2,32,MIX,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,10,B4,710,WT1,32,WT,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,16,C4,710,C1,32,C,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,22,D4,710,C1,32,C,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,5,A5,710,MIX1,32,MIX,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,11,B5,710,C1,32,C,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,17,C5,710,NA,32,NA,Blank,33,12,6,0.00008,NA,,,,,,,,,,,
20230623,23,D5,710,MIX1,32,MIX,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,6,A6,710,C1,32,C,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,12,B6,710,NA,32,NA,Blank,33,12,6,0.00008,NA,,,,,,,,,,,
20230623,18,C6,710,WT1,32,WT,Sample,33,12,6,0.00008,4,,,,,,,,,,,
20230623,24,D6,710,WT2,32,WT,Sample,33,12,6,0.00008,5,,,,,,,,,,,
20230623,1,A1,641,MIX2,28,MIX,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,7,B1,641,MIX1,28,MIX,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,13,C1,641,C2,28,C,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,19,D1,641,WT1,28,WT,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,2,A2,641,C2,28,C,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,8,B2,641,NA,28,NA,Blank,33,13,7,0.00008,NA,,,,,,,,,,,
20230623,14,C2,641,WT2,28,WT,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,20,D2,641,MIX2,28,MIX,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,3,A3,641,WT2,28,WT,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,9,B3,641,MIX1,28,MIX,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,15,C3,641,C2,28,C,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,21,D3,641,WT2,28,WT,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,4,A4,641,MIX2,28,MIX,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,10,B4,641,WT1,28,WT,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,16,C4,641,C1,28,C,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,22,D4,641,C1,28,C,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,5,A5,641,MIX1,28,MIX,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,11,B5,641,C1,28,C,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,17,C5,641,NA,28,NA,Blank,33,13,7,0.00008,NA,,,,,,,,,,,
20230623,23,D5,641,MIX1,28,MIX,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,6,A6,641,C1,28,C,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,12,B6,641,NA,28,NA,Blank,33,13,7,0.00008,NA,,,,,,,,,,,
20230623,18,C6,641,WT1,28,WT,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,24,D6,641,WT2,28,WT,Sample,33,13,7,0.00008,5,,,,,,,,,,,
20230623,1,A1,710,WT1,28,WT,Sample,33,14,7,0.00008,5,,,,,,,,,,,
20230623,7,B1,710,MIX1,28,MIX,Sample,33,14,7,0.00008,5,,,,,,,,,,,
20230623,13,C1,710,NA,28,NA,Blank,33,14,7,0.00008,NA,,,,,,,,,,,
20230623,19,D1,710,C1,28,C,Sample,33,14,7,0.00008,5,,,,,,,,,,,
